epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,922.496,0.92143,5.15289,0.99887,0.55793,0.06681,0.04638,0.03791,0.86319,5.52309,0.90703,5.34784e-05,5.34784e-05,5.34784e-05
2,1825.81,0.88053,3.74671,0.952,0.54647,0.10241,0.08352,0.06823,0.84383,4.57095,0.9224,0.000106084,0.000106084,0.000106084
3,2731.42,0.83412,3.06543,0.9473,0.48807,0.14591,0.12248,0.09949,0.81379,4.23481,0.91869,0.000157628,0.000157628,0.000157628
4,3629.31,0.8301,2.75314,0.94566,0.54861,0.16712,0.14,0.11435,0.79616,4.03016,0.91985,0.000156218,0.000156218,0.000156218
5,4515.11,0.80604,2.63427,0.94285,0.54529,0.23737,0.16779,0.13788,0.79105,3.70623,0.93193,0.000154624,0.000154624,0.000154624
6,5396.54,0.80265,2.40945,0.93775,0.45658,0.27031,0.24798,0.20458,0.76195,3.38321,0.92135,0.000153031,0.000153031,0.000153031
7,9272.58,0.77434,2.33327,0.93369,0.41824,0.30098,0.25281,0.20517,0.76913,3.31331,0.92348,0.000151437,0.000151437,0.000151437
8,9981.92,0.75707,2.04182,0.93239,0.6643,0.26886,0.30745,0.25225,0.75081,2.95665,0.9216,0.000149843,0.000149843,0.000149843
9,10654,0.74631,1.93596,0.92404,0.58403,0.30765,0.34153,0.27999,0.73489,2.77636,0.91637,0.000148249,0.000148249,0.000148249
10,11380.5,0.73887,1.90892,0.92496,0.64038,0.30434,0.35674,0.29465,0.74155,2.79878,0.91178,0.000146655,0.000146655,0.000146655
11,12105.5,0.7372,1.74377,0.92899,0.56887,0.36838,0.38374,0.31796,0.72678,2.61089,0.90762,0.000145061,0.000145061,0.000145061
12,12817.7,0.72346,1.66512,0.9206,0.56641,0.37495,0.40732,0.33973,0.71982,2.55383,0.90519,0.000143467,0.000143467,0.000143467
13,13542.1,0.72778,1.64663,0.92744,0.5738,0.40894,0.42934,0.35937,0.71383,2.41441,0.89454,0.000141873,0.000141873,0.000141873
14,14255.5,0.71735,1.53281,0.92219,0.56172,0.41442,0.45764,0.37193,0.73233,2.59249,0.90711,0.000140279,0.000140279,0.000140279
15,14920.2,0.7133,1.51947,0.91631,0.69431,0.39134,0.48941,0.39895,0.73902,2.13024,0.91778,0.000138685,0.000138685,0.000138685
16,15585,0.71241,1.45337,0.91393,0.64745,0.45556,0.50293,0.41244,0.71761,2.30636,0.90383,0.000137092,0.000137092,0.000137092
17,16245.8,0.70946,1.43438,0.92459,0.46233,0.54686,0.52288,0.42678,0.71562,2.31704,0.90303,0.000135498,0.000135498,0.000135498
18,16903.3,0.69173,1.35897,0.91685,0.63611,0.49444,0.55063,0.45038,0.70705,1.92288,0.8968,0.000133904,0.000133904,0.000133904
19,17548.8,0.71195,1.33763,0.92338,0.59814,0.51938,0.55962,0.4493,0.70962,1.93571,0.89806,0.00013231,0.00013231,0.00013231
20,18207.4,0.70258,1.2802,0.91699,0.6129,0.56464,0.57826,0.46475,0.69924,1.83346,0.89821,0.000130716,0.000130716,0.000130716
21,18858.9,0.68541,1.25114,0.91152,0.76652,0.49811,0.5924,0.47771,0.70297,1.71838,0.89753,0.000129122,0.000129122,0.000129122
22,19503.3,0.68161,1.1707,0.90909,0.74723,0.53742,0.60351,0.48704,0.71969,1.73006,0.90632,0.000127528,0.000127528,0.000127528
23,673.78,0.68541,1.21659,0.92972,0.59813,0.5665,0.60705,0.48971,0.72165,1.9964,0.91461,0.000125934,0.000125934,0.000125934
24,1315.88,0.68227,1.12834,0.90846,0.75689,0.5314,0.62426,0.51262,0.6942,1.57432,0.89811,0.00012434,0.00012434,0.00012434
25,1937.64,0.667,1.0876,0.91203,0.64716,0.60679,0.64162,0.52573,0.69304,1.5224,0.89861,0.000122746,0.000122746,0.000122746
26,2586.27,0.68006,1.07439,0.90852,0.68911,0.58864,0.63502,0.52082,0.69777,1.56641,0.90098,0.000121153,0.000121153,0.000121153
27,3232.4,0.66692,1.05947,0.90812,0.7364,0.57898,0.62701,0.5126,0.70426,1.46432,0.89865,0.000119559,0.000119559,0.000119559
28,3881.14,0.66571,0.99428,0.90363,0.66082,0.6206,0.63732,0.52555,0.69616,1.42336,0.89638,0.000117965,0.000117965,0.000117965
29,4527.87,0.66473,1.01237,0.90515,0.66064,0.62776,0.65257,0.5348,0.69728,1.3537,0.89926,0.000116371,0.000116371,0.000116371
30,5155.87,0.65181,0.94574,0.90153,0.68946,0.64582,0.67354,0.5498,0.69024,1.83956,0.89933,0.000114777,0.000114777,0.000114777
31,5805.83,0.64943,0.91962,0.89604,0.75687,0.57334,0.6672,0.54858,0.68843,1.25336,0.89734,0.000113183,0.000113183,0.000113183
32,6455.52,0.64541,0.91125,0.89984,0.72639,0.61608,0.68471,0.55628,0.69832,1.33484,0.89741,0.000111589,0.000111589,0.000111589
33,7108.15,0.65037,0.88441,0.90551,0.76548,0.63029,0.67922,0.5542,0.68234,1.32233,0.89814,0.000109995,0.000109995,0.000109995
34,7757.63,0.63212,0.86217,0.89359,0.75351,0.64301,0.70451,0.57247,0.67949,1.22196,0.89307,0.000108401,0.000108401,0.000108401
35,8405.79,0.63774,0.85185,0.89913,0.69585,0.67251,0.70518,0.58106,0.66993,1.23641,0.88873,0.000106807,0.000106807,0.000106807
36,9051.81,0.63129,0.82791,0.89589,0.73102,0.63872,0.6995,0.57187,0.67804,1.26315,0.88719,0.000105214,0.000105214,0.000105214
37,9689.47,0.62873,0.82201,0.89138,0.74498,0.67451,0.72711,0.5909,0.68295,1.14711,0.89458,0.00010362,0.00010362,0.00010362
38,10328.2,0.636,0.81508,0.89103,0.71459,0.66069,0.71008,0.58073,0.68114,1.18597,0.89002,0.000102026,0.000102026,0.000102026
39,10977.9,0.63063,0.82911,0.90046,0.74471,0.64733,0.72976,0.59671,0.67515,1.2904,0.88867,0.000100432,0.000100432,0.000100432
40,11650.5,0.61932,0.78988,0.89568,0.7336,0.69731,0.73545,0.60092,0.67568,1.07507,0.88668,9.88379e-05,9.88379e-05,9.88379e-05
41,12304.4,0.63327,0.78824,0.90042,0.77987,0.6878,0.75988,0.62128,0.67447,1.05799,0.88983,9.7244e-05,9.7244e-05,9.7244e-05
42,12953.9,0.62614,0.76256,0.89112,0.73741,0.67383,0.75217,0.61262,0.66662,1.07242,0.8936,9.56501e-05,9.56501e-05,9.56501e-05
43,13604.1,0.6125,0.76641,0.89027,0.77086,0.67031,0.75804,0.61709,0.67303,1.02188,0.88824,9.40562e-05,9.40562e-05,9.40562e-05
44,14255.1,0.6114,0.72636,0.88883,0.75546,0.73845,0.779,0.63459,0.67134,1.00035,0.89131,9.24623e-05,9.24623e-05,9.24623e-05
45,14921.5,0.62958,0.7655,0.89543,0.74614,0.69738,0.7686,0.6281,0.66296,0.98662,0.89103,9.08684e-05,9.08684e-05,9.08684e-05
46,670.747,0.63061,0.85054,0.91121,0.76096,0.67779,0.76658,0.62553,0.67926,1.07979,0.89263,8.92745e-05,8.92745e-05,8.92745e-05
47,1313.51,0.61414,0.71871,0.88936,0.74864,0.71483,0.7652,0.62715,0.6638,1.02926,0.88876,8.76806e-05,8.76806e-05,8.76806e-05
48,1955.04,0.60281,0.69334,0.8914,0.75229,0.72289,0.77416,0.62724,0.66115,0.96884,0.89014,8.60867e-05,8.60867e-05,8.60867e-05
49,2597.71,0.61208,0.69611,0.88561,0.77716,0.69195,0.74959,0.61343,0.6587,1.01577,0.89218,8.44928e-05,8.44928e-05,8.44928e-05
50,3241.3,0.5979,0.69265,0.88868,0.72955,0.76811,0.77502,0.62828,0.67266,0.9566,0.88841,8.28989e-05,8.28989e-05,8.28989e-05
51,3885.73,0.60054,0.65783,0.88276,0.77951,0.71136,0.77819,0.6385,0.67155,0.95137,0.88925,8.1305e-05,8.1305e-05,8.1305e-05
52,4527.85,0.59558,0.66892,0.88494,0.78996,0.73668,0.79429,0.64604,0.672,0.93341,0.88678,7.97111e-05,7.97111e-05,7.97111e-05
53,5170.48,0.59293,0.63987,0.88297,0.77578,0.71029,0.78499,0.63856,0.6687,0.99448,0.88933,7.81172e-05,7.81172e-05,7.81172e-05
54,5813.65,0.58747,0.63732,0.87838,0.79787,0.69201,0.78385,0.6382,0.66747,0.9073,0.88695,7.65233e-05,7.65233e-05,7.65233e-05
55,6456.55,0.5838,0.62575,0.87998,0.74631,0.76392,0.791,0.64798,0.66776,0.91038,0.88647,7.49294e-05,7.49294e-05,7.49294e-05
56,7100.31,0.58942,0.61919,0.88685,0.75292,0.73189,0.79155,0.6455,0.66662,0.91809,0.89331,7.33355e-05,7.33355e-05,7.33355e-05
57,7745.23,0.57937,0.60767,0.87664,0.80737,0.7481,0.79263,0.65214,0.66635,0.88957,0.88635,7.17416e-05,7.17416e-05,7.17416e-05
58,8393.16,0.5793,0.60726,0.88072,0.75947,0.75687,0.78837,0.64655,0.66523,0.91455,0.88601,7.01477e-05,7.01477e-05,7.01477e-05
59,9037.9,0.57172,0.59789,0.87962,0.82394,0.72895,0.80183,0.66057,0.66462,0.88096,0.88588,6.85538e-05,6.85538e-05,6.85538e-05
60,9685.11,0.57232,0.59039,0.87475,0.77858,0.75136,0.8122,0.66704,0.6639,0.88952,0.88879,6.69599e-05,6.69599e-05,6.69599e-05
61,10332.6,0.58152,0.60335,0.87326,0.78561,0.77361,0.80956,0.66908,0.6566,0.88838,0.88164,6.5366e-05,6.5366e-05,6.5366e-05
62,10977.5,0.57612,0.60625,0.88449,0.80473,0.74019,0.79825,0.65464,0.66322,0.91025,0.88468,6.37721e-05,6.37721e-05,6.37721e-05
63,11621.8,0.56008,0.58004,0.87613,0.76167,0.78165,0.79325,0.65088,0.65945,0.87099,0.88253,6.21782e-05,6.21782e-05,6.21782e-05
64,12265.1,0.57292,0.58528,0.88086,0.76835,0.76277,0.80014,0.65325,0.66117,0.8326,0.88547,6.05843e-05,6.05843e-05,6.05843e-05
