               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081471,            0.024867,            0.090811,             0.88001,            0.030817,            0.018729,           0.0091766,            0.047659,            0.015188,            0.083065,            0.070105,           0.0033216,           0.0033216
                   1,            0.053266,            0.017259,            0.079628,             0.96984,             0.02294,            0.030232,            0.016052,            0.043086,            0.011102,            0.076478,            0.040039,           0.0065891,           0.0065891
                   2,            0.050618,            0.013426,            0.071894,             0.94869,            0.034504,              0.0373,            0.020821,             0.04022,           0.0088197,            0.069135,           0.0099075,           0.0097905,           0.0097905
                   0,              0.0311,            0.012144,            0.066602,             0.97476,            0.044625,            0.053088,            0.034879,            0.029245,           0.0073873,            0.065564,            0.070105,           0.0033216,           0.0033216
                   1,            0.036175,            0.010775,            0.065245,              0.9786,             0.03714,            0.052635,            0.034257,            0.031373,            0.007224,            0.063721,            0.040039,           0.0065891,           0.0065891
                   2,            0.042172,            0.010306,            0.060151,             0.93075,            0.055541,            0.070613,            0.041286,            0.037746,           0.0073206,            0.058369,           0.0099075,           0.0097905,           0.0097905
                   3,            0.041795,            0.010559,            0.056906,             0.91356,            0.072589,             0.09159,            0.050961,            0.035245,           0.0066058,            0.054457,            0.009703,            0.009703,            0.009703
                   4,            0.038286,           0.0097338,            0.052245,             0.87968,            0.098822,             0.10275,            0.062648,            0.032055,           0.0061629,            0.051316,            0.009703,            0.009703,            0.009703
                   5,             0.03706,           0.0096229,            0.050368,             0.83438,             0.11321,             0.12479,            0.080404,            0.027765,           0.0058621,            0.049759,            0.009604,            0.009604,            0.009604
                   6,            0.035117,           0.0090685,            0.048372,             0.88011,             0.12052,              0.1331,            0.085813,            0.028743,             0.00567,            0.046422,            0.009505,            0.009505,            0.009505
                   7,            0.033734,           0.0090169,            0.047672,             0.89763,             0.11283,              0.1588,             0.10073,            0.028055,           0.0057748,            0.045197,            0.009406,            0.009406,            0.009406
                   8,            0.033015,           0.0089882,            0.044313,             0.85943,             0.13205,             0.16007,              0.1098,            0.027542,           0.0056224,            0.043793,            0.009307,            0.009307,            0.009307
                   9,            0.032041,           0.0085552,             0.04264,             0.77179,             0.17603,             0.18163,             0.12556,            0.025596,           0.0055868,            0.042304,            0.009208,            0.009208,            0.009208
                  10,             0.03194,           0.0081144,            0.041717,              0.6538,             0.23636,             0.20007,             0.13885,            0.025309,           0.0053945,            0.040246,            0.009109,            0.009109,            0.009109
                  11,            0.031676,           0.0082783,            0.040316,             0.84302,              0.1592,             0.19578,             0.12986,            0.026488,           0.0053703,            0.039821,             0.00901,             0.00901,             0.00901
                  12,             0.03063,           0.0079521,            0.039052,             0.76908,               0.212,             0.20941,              0.1475,            0.023983,           0.0052295,            0.038341,            0.008911,            0.008911,            0.008911
                  13,            0.030156,            0.008072,            0.038904,             0.82617,             0.20296,                0.23,             0.16111,            0.024829,           0.0054246,            0.037734,            0.008812,            0.008812,            0.008812
                  14,            0.029983,           0.0081781,            0.037168,             0.79795,             0.22694,               0.241,             0.16605,            0.023834,           0.0053845,            0.036476,            0.008713,            0.008713,            0.008713
                  15,            0.029009,           0.0078677,            0.036364,             0.83864,             0.20562,             0.24232,             0.15916,            0.024814,           0.0051599,            0.035345,            0.008614,            0.008614,            0.008614
                  16,            0.028464,           0.0079489,            0.034739,              0.7033,             0.26545,             0.24856,             0.17027,            0.024476,           0.0052607,            0.034536,            0.008515,            0.008515,            0.008515
                  17,              0.0285,           0.0078469,            0.035336,             0.73473,             0.26873,             0.27419,             0.19195,            0.023184,           0.0051492,            0.032969,            0.008416,            0.008416,            0.008416
