               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087758,            0.029013,            0.093788,            0.029814,               0.357,            0.019693,           0.0081308,             0.05167,            0.025649,            0.090481,            0.070093,            0.003323,            0.003323
                   1,            0.058258,             0.02056,            0.085705,             0.56785,            0.078147,            0.030164,            0.013912,            0.056905,            0.017358,            0.085916,            0.040027,           0.0065904,           0.0065904
                   2,            0.055909,            0.016522,            0.081197,             0.63548,            0.064461,            0.045031,            0.018251,            0.045004,            0.015586,            0.081774,           0.0098954,           0.0097919,           0.0097919
                   3,            0.051676,            0.014421,            0.075282,              0.6934,             0.12074,            0.082623,            0.045235,            0.040175,            0.013168,            0.076348,            0.009703,            0.009703,            0.009703
                   4,            0.046434,            0.013082,            0.070156,             0.79321,             0.15709,             0.12916,            0.068492,            0.039234,            0.012066,             0.07132,            0.009703,            0.009703,            0.009703
                   5,            0.044351,            0.012521,            0.064889,             0.83284,             0.15707,             0.17345,            0.094601,            0.034351,            0.011331,            0.066145,            0.009604,            0.009604,            0.009604
                   6,            0.042004,            0.011818,            0.059363,             0.90949,             0.15606,             0.21624,              0.1235,            0.036492,            0.011006,            0.061141,            0.009505,            0.009505,            0.009505
                   7,            0.041329,             0.01143,            0.053483,             0.86714,             0.19374,             0.25398,             0.15325,            0.034726,            0.010521,            0.056183,            0.009406,            0.009406,            0.009406
                   8,            0.040501,            0.011619,            0.049193,             0.81607,             0.27349,              0.2981,             0.17279,            0.032875,            0.010539,            0.052299,            0.009307,            0.009307,            0.009307
                   9,             0.03897,            0.010982,            0.045846,              0.8012,             0.28145,             0.31184,             0.18369,            0.031871,            0.010085,            0.049063,            0.009208,            0.009208,            0.009208
                  10,            0.038258,            0.010758,             0.04346,              0.8554,             0.26034,             0.33553,             0.19323,            0.033768,            0.010231,            0.046417,            0.009109,            0.009109,            0.009109
                  11,            0.038033,            0.010862,             0.04072,              0.8189,             0.34349,             0.37707,              0.2203,            0.031561,            0.010075,            0.043763,             0.00901,             0.00901,             0.00901
                  12,            0.037108,            0.010637,            0.037593,              0.8576,             0.32776,             0.41475,             0.24952,             0.03196,           0.0099728,            0.041097,            0.008911,            0.008911,            0.008911
                  13,            0.037024,            0.010481,             0.03579,             0.88875,             0.35153,             0.41529,             0.26535,            0.032615,           0.0097794,             0.03855,            0.008812,            0.008812,            0.008812
                  14,            0.036397,             0.01047,            0.033369,             0.86495,             0.37844,             0.47084,             0.30154,            0.030838,           0.0094808,             0.03607,            0.008713,            0.008713,            0.008713
                  15,            0.036295,            0.010223,            0.031406,             0.85956,             0.41183,              0.4952,             0.31774,            0.031488,           0.0095894,            0.034768,            0.008614,            0.008614,            0.008614
                  16,             0.03605,            0.010167,            0.029808,             0.88882,             0.43453,             0.52678,              0.3523,            0.031023,           0.0095652,            0.032545,            0.008515,            0.008515,            0.008515
                  17,              0.0354,            0.010118,            0.027724,             0.90375,             0.45079,             0.57673,             0.38822,            0.029725,           0.0092802,            0.030645,            0.008416,            0.008416,            0.008416
                  18,            0.035393,            0.009943,            0.026904,             0.92263,             0.46896,             0.58018,             0.38783,            0.028497,             0.00916,            0.029244,            0.008317,            0.008317,            0.008317
